"","iso","year","threshold","mnninc999i","mhweal999i","w","n","currency"
"119","AE",2016,2e+06,336709523623.286,772574805402.718,174022883298,26250,"EUR"
"120","AE",2016,5e+06,336709523623.286,772574805402.718,114893704098,6050,"EUR"
"121","AE",2016,1e+07,336709523623.286,772574805402.718,88050006270,2122,"EUR"
"122","AE",2016,2e+07,336709523623.286,772574805402.718,69989868738,780,"EUR"
"123","AE",2016,5e+07,336709523623.286,772574805402.718,52620838040,194,"EUR"
"124","AE",2016,1e+08,336709523623.286,772574805402.718,45833180846,79,"EUR"
"125","AE",2016,2e+08,336709523623.286,772574805402.718,42676569258,60,"EUR"
"126","AE",2016,5e+08,336709523623.286,772574805402.718,31478412586,26,"EUR"
"127","AE",2016,1e+09,336709523623.286,772574805402.718,16622954893,5,"EUR"
"128","AE",2016,2e+09,336709523623.286,772574805402.718,14635427678,4,"EUR"
"129","AE",2016,5e+09,336709523623.286,772574805402.718,0,0,"EUR"
"130","AE",2016,1e+10,336709523623.286,772574805402.718,0,0,"EUR"
"131","AE",2016,2e+10,336709523623.286,772574805402.718,0,0,"EUR"
"132","AE",2016,5e+10,336709523623.286,772574805402.718,0,0,"EUR"
"133","AE",2016,1e+11,336709523623.286,772574805402.718,0,0,"EUR"
"134","AE",2017,1e+05,339530784181.797,760917232099.829,622319862114,1639831,"EUR"
"135","AE",2017,2e+05,339530784181.797,760917232099.829,498157246152,754629,"EUR"
"136","AE",2017,5e+05,339530784181.797,760917232099.829,335467026268,216902,"EUR"
"137","AE",2017,1e+06,339530784181.797,760917232099.829,242881145144,78498,"EUR"
"138","AE",2017,2e+06,339530784181.797,760917232099.829,169617955324,24350,"EUR"
"139","AE",2017,5e+06,339530784181.797,760917232099.829,114843912854,5625,"EUR"
"140","AE",2017,1e+07,339530784181.797,760917232099.829,89892644648,1962,"EUR"
"141","AE",2017,2e+07,339530784181.797,760917232099.829,73009518673,709,"EUR"
"142","AE",2017,5e+07,339530784181.797,760917232099.829,56711995660,166,"EUR"
"143","AE",2017,1e+08,339530784181.797,760917232099.829,50777674097,69,"EUR"
"144","AE",2017,2e+08,339530784181.797,760917232099.829,49240456219,55,"EUR"
"145","AE",2017,5e+08,339530784181.797,760917232099.829,38182818658,24,"EUR"
"146","AE",2017,1e+09,339530784181.797,760917232099.829,24166110349,5,"EUR"
"147","AE",2017,2e+09,339530784181.797,760917232099.829,22307178784,4,"EUR"
"148","AE",2017,5e+09,339530784181.797,760917232099.829,15402575827,2,"EUR"
"149","AE",2017,1e+10,339530784181.797,760917232099.829,0,0,"EUR"
"150","AE",2017,2e+10,339530784181.797,760917232099.829,0,0,"EUR"
"151","AE",2017,5e+10,339530784181.797,760917232099.829,0,0,"EUR"
"152","AE",2017,1e+11,339530784181.797,760917232099.829,0,0,"EUR"
"153","AE",2018,1e+05,351364130467.989,782832672626.629,641943658353,1698582,"EUR"
"154","AE",2018,2e+05,351364130467.989,782832672626.629,513873072738,786249,"EUR"
"155","AE",2018,5e+05,351364130467.989,782832672626.629,344697378759,226588,"EUR"
"156","AE",2018,1e+06,351364130467.989,782832672626.629,247700249539,81593,"EUR"
"157","AE",2018,2e+06,351364130467.989,782832672626.629,171218830368,25249,"EUR"
"158","AE",2018,5e+06,351364130467.989,782832672626.629,114276578220,5805,"EUR"
"159","AE",2018,1e+07,351364130467.989,782832672626.629,88546451004,2023,"EUR"
"160","AE",2018,2e+07,351364130467.989,782832672626.629,71151167989,733,"EUR"
"161","AE",2018,5e+07,351364130467.989,782832672626.629,54835378047,180,"EUR"
"162","AE",2018,1e+08,351364130467.989,782832672626.629,48662748318,75,"EUR"
"163","AE",2018,2e+08,351364130467.989,782832672626.629,46657770279,60,"EUR"
"164","AE",2018,5e+08,351364130467.989,782832672626.629,34560300972,27,"EUR"
"165","AE",2018,1e+09,351364130467.989,782832672626.629,20322544098,7,"EUR"
"166","AE",2018,2e+09,351364130467.989,782832672626.629,17443517017,5,"EUR"
"167","AE",2018,5e+09,351364130467.989,782832672626.629,0,0,"EUR"
"168","AE",2018,1e+10,351364130467.989,782832672626.629,0,0,"EUR"
"169","AE",2018,2e+10,351364130467.989,782832672626.629,0,0,"EUR"
"170","AE",2018,5e+10,351364130467.989,782832672626.629,0,0,"EUR"
"171","AE",2018,1e+11,351364130467.989,782832672626.629,0,0,"EUR"
"172","AE",2019,1e+05,360503355980.823,793319784178.84,655668979208,1730899,"EUR"
"173","AE",2019,2e+05,360503355980.823,793319784178.84,525761075233,806179,"EUR"
"174","AE",2019,5e+05,360503355980.823,793319784178.84,352543396523,233083,"EUR"
"175","AE",2019,1e+06,360503355980.823,793319784178.84,252537941346,83701,"EUR"
"176","AE",2019,2e+06,360503355980.823,793319784178.84,174243950068,26119,"EUR"
"177","AE",2019,5e+06,360503355980.823,793319784178.84,115309702638,5973,"EUR"
"178","AE",2019,1e+07,360503355980.823,793319784178.84,88840288362,2085,"EUR"
"179","AE",2019,2e+07,360503355980.823,793319784178.84,70991684956,761,"EUR"
"180","AE",2019,5e+07,360503355980.823,793319784178.84,54340907028,192,"EUR"
"181","AE",2019,1e+08,360503355980.823,793319784178.84,47468315304,81,"EUR"
"182","AE",2019,2e+08,360503355980.823,793319784178.84,45153646164,64,"EUR"
"183","AE",2019,5e+08,360503355980.823,793319784178.84,33957344892,30,"EUR"
"184","AE",2019,1e+09,360503355980.823,793319784178.84,17597542601,7,"EUR"
"185","AE",2019,2e+09,360503355980.823,793319784178.84,13041833603,4,"EUR"
"186","AE",2019,5e+09,360503355980.823,793319784178.84,0,0,"EUR"
"187","AE",2019,1e+10,360503355980.823,793319784178.84,0,0,"EUR"
"188","AE",2019,2e+10,360503355980.823,793319784178.84,0,0,"EUR"
"189","AE",2019,5e+10,360503355980.823,793319784178.84,0,0,"EUR"
"190","AE",2019,1e+11,360503355980.823,793319784178.84,0,0,"EUR"
"191","AE",2020,1e+05,301891890622.753,733209213204.156,590451335866,1620239,"EUR"
"192","AE",2020,2e+05,301891890622.753,733209213204.156,466770341325,736186,"EUR"
"193","AE",2020,5e+05,301891890622.753,733209213204.156,307608965849,208903,"EUR"
"194","AE",2020,1e+06,301891890622.753,733209213204.156,218344627477,75407,"EUR"
"195","AE",2020,2e+06,301891890622.753,733209213204.156,148178941339,23279,"EUR"
"196","AE",2020,5e+06,301891890622.753,733209213204.156,95976201929,5368,"EUR"
"197","AE",2020,1e+07,301891890622.753,733209213204.156,72059956261,1856,"EUR"
"198","AE",2020,2e+07,301891890622.753,733209213204.156,56209323589,686,"EUR"
"199","AE",2020,5e+07,301891890622.753,733209213204.156,40421940773,160,"EUR"
"200","AE",2020,1e+08,301891890622.753,733209213204.156,35562890394,79,"EUR"
"201","AE",2020,2e+08,301891890622.753,733209213204.156,32862194829,60,"EUR"
"202","AE",2020,5e+08,301891890622.753,733209213204.156,19700180233,20,"EUR"
"203","AE",2020,1e+09,301891890622.753,733209213204.156,9192817211,4,"EUR"
"204","AE",2020,2e+09,301891890622.753,733209213204.156,6128544807,2,"EUR"
"205","AE",2020,5e+09,301891890622.753,733209213204.156,0,0,"EUR"
"206","AE",2020,1e+10,301891890622.753,733209213204.156,0,0,"EUR"
"207","AE",2020,2e+10,301891890622.753,733209213204.156,0,0,"EUR"
"208","AE",2020,5e+10,301891890622.753,733209213204.156,0,0,"EUR"
"209","AE",2020,1e+11,301891890622.753,733209213204.156,0,0,"EUR"
"210","AE",2021,1e+05,349292156444.345,838405668752.098,690708302090,1840286,"EUR"
"211","AE",2021,2e+05,349292156444.345,838405668752.098,553399919758,863370,"EUR"
"212","AE",2021,5e+05,349292156444.345,838405668752.098,368072016243,250261,"EUR"
"213","AE",2021,1e+06,349292156444.345,838405668752.098,260345417598,89610,"EUR"
"214","AE",2021,2e+06,349292156444.345,838405668752.098,176753668192,28267,"EUR"
"215","AE",2021,5e+06,349292156444.345,838405668752.098,112926584113,6423,"EUR"
"216","AE",2021,1e+07,349292156444.345,838405668752.098,84415948001,2241,"EUR"
"217","AE",2021,2e+07,349292156444.345,838405668752.098,65254958144,821,"EUR"
"218","AE",2021,5e+07,349292156444.345,838405668752.098,47138876954,206,"EUR"
"219","AE",2021,1e+08,349292156444.345,838405668752.098,39623723438,86,"EUR"
"220","AE",2021,2e+08,349292156444.345,838405668752.098,36936710534,66,"EUR"
"221","AE",2021,5e+08,349292156444.345,838405668752.098,23211762507,25,"EUR"
"222","AE",2021,1e+09,349292156444.345,838405668752.098,9300435662,4,"EUR"
"223","AE",2021,2e+09,349292156444.345,838405668752.098,7440348530,3,"EUR"
"224","AE",2021,5e+09,349292156444.345,838405668752.098,0,0,"EUR"
"225","AE",2021,1e+10,349292156444.345,838405668752.098,0,0,"EUR"
"226","AE",2021,2e+10,349292156444.345,838405668752.098,0,0,"EUR"
"227","AE",2021,5e+10,349292156444.345,838405668752.098,0,0,"EUR"
"228","AE",2021,1e+11,349292156444.345,838405668752.098,0,0,"EUR"
"229","AE",2022,1e+05,482715347867.693,1114244754696.22,1057605252555,2364287,"EUR"
"230","AE",2022,2e+05,482715347867.693,1114244754696.22,892687400719,1198733,"EUR"
"231","AE",2022,5e+05,482715347867.693,1114244754696.22,639609612890,366614,"EUR"
"232","AE",2022,1e+06,482715347867.693,1114244754696.22,476476311377,128349,"EUR"
"233","AE",2022,2e+06,482715347867.693,1114244754696.22,360131608650,44110,"EUR"
"234","AE",2022,5e+06,482715347867.693,1114244754696.22,260534261024,9824,"EUR"
"235","AE",2022,1e+07,482715347867.693,1114244754696.22,216826918619,3365,"EUR"
"236","AE",2022,2e+07,482715347867.693,1114244754696.22,186481784235,1133,"EUR"
"237","AE",2022,5e+07,482715347867.693,1114244754696.22,160723386299,293,"EUR"
"238","AE",2022,1e+08,482715347867.693,1114244754696.22,146778666038,88,"EUR"
"239","AE",2022,2e+08,482715347867.693,1114244754696.22,144117157435,65,"EUR"
